Airline,Carrier Code,Flight Number,Tail Number,Flight ID,Event,Airport,Time,Original Time,Longitude,Latitude
American,AA,1107,N292AA,AA1107PHLDFW,Depart,PHL,7:10,713,-75.24111111,39.87194444
American,AA,1108,N5CYAA,AA1108DFWMCO,Arrive,MCO,1:00,102,-81.31583333,28.42888889
American,AA,1108,N5CYAA,AA1108DFWMCO,Depart,DFW,21:40,2144,-97.0375,32.89638889
American,AA,1109,N444AA,AA1109MSPDFW,Arrive,DFW,14:25,1429,-97.0375,32.89638889
American,AA,1109,N444AA,AA1109MSPDFW,Depart,MSP,12:00,1201,-93.21666667,44.88027778
American,AA,1111,N585AA,AA1111DCADFW,Arrive,DFW,20:25,2026,-97.0375,32.89638889
American,AA,1111,N585AA,AA1111DCADFW,Depart,DCA,17:55,1756,-77.0375,38.85194444
American,AA,1111,N585AA,AA1111DFWIAH,Arrive,IAH,22:50,2252,-95.33972222,29.98027778
American,AA,1111,N585AA,AA1111DFWIAH,Depart,DFW,21:55,2156,-97.0375,32.89638889
American,AA,1112,N4XFAA,AA1112MCIORD,Arrive,ORD,18:45,1847,-87.90444444,41.97944444
American,AA,1112,N4XFAA,AA1112MCIORD,Depart,MCI,17:20,1720,-94.71388889,39.2975
American,AA,1114,N082AA,AA1114SJUMIA,Arrive,MIA,8:45,848,-80.29055556,25.79305556
American,AA,1114,N082AA,AA1114SJUMIA,Depart,SJU,7:20,722,-66.00166667,18.43916667
American,AA,1115,N515AA,AA1115ATLDFW,Arrive,DFW,8:50,854,-97.0375,32.89638889
American,AA,1115,N515AA,AA1115ATLDFW,Depart,ATL,7:30,733,-84.42694444,33.64027778
American,AA,1115,N515AA,AA1115DFWDEN,Arrive,DEN,10:50,1050,-104.6669444,39.85833333
American,AA,1115,N515AA,AA1115DFWDEN,Depart,DFW,9:45,948,-97.0375,32.89638889
American,AA,1116,N4XAAA,AA1116DFWPHL,Arrive,PHL,23:55,2355,-75.24111111,39.87194444
American,AA,1116,N4XAAA,AA1116DFWPHL,Depart,DFW,18:50,1854,-97.0375,32.89638889
American,AA,1117,N444AA,AA1117CMHDFW,Arrive,DFW,21:00,2101,-97.0375,32.89638889
American,AA,1117,N444AA,AA1117CMHDFW,Depart,CMH,19:15,1918,-82.89166667,39.99777778
American,AA,1117,N549AA,AA1117DFWAUS,Arrive,AUS,23:05,2308,-97.66972222,30.19444444
